"operon","genes"
"[[gene|ytlP]]->[[gene|amyX]]","[[gene|ytlP]]-[[gene|ytlQ]]-[[gene|ytlR]]-[[gene|amyX]]"
"[[gene|yhcO]]","[[gene|yhcO]]"
"[[gene|ytzH]]","[[gene|ytzH]]"
"[[gene|fenA]]","[[gene|fenA]]"
"[[gene|opuBA]]→[[gene|opuBD]]","[[gene|opuBA]]-[[gene|opuBB]]-[[gene|opuBC]]-[[gene|opuBD]]"
"[[gene|yjjA]]","[[gene|yjjA]]"
"[[gene|cypA]]","[[gene|cypA]]"
"[[gene|S319]]→[[gene|yhcT]]","[[gene|S319]]-[[gene|yhcT]]"
"[[gene|hrcA]]→[[gene|yqeV]]","[[gene|hrcA]]-[[gene|grpE]]-[[gene|dnaK]]-[[gene|dnaJ]]-[[gene|yqeT]]-[[gene|yqeU]]-[[gene|yqeV]]"
"[[gene|yqeG]]→[[gene|yqeM]]","[[gene|yqeG]]-[[gene|yqeH]]-[[gene|aroD]]-[[gene|yqeI]]-[[gene|nadD]]-[[gene|yqeK]]-[[gene|yqeL]]-[[gene|yqeM]]"
"[[gene|nucB]]","[[gene|nucB]]"
"[[gene|opuAA]]→[[gene|opuAC]]","[[gene|opuAA]]-[[gene|opuAB]]-[[gene|opuAC]]"
"[[gene|rhaEW]]→[[gene|rhaA]]","[[gene|rhaEW]]-[[gene|rhaR]]-[[gene|rhaB]]-[[gene|rhaM]]-[[gene|rhaA]]"
"[[gene|ricF]]","[[gene|ricF]]"
"[[gene|yorB]]→[[gene|yorC]]","[[gene|yorB]]-[[gene|yorC]]"
"[[gene|gndA]]","[[gene|gndA]]"
"[[gene|yoeA]]","[[gene|yoeA]]"
"[[gene|ldh]]→[[gene|lctP]]","[[gene|ldh]]-[[gene|lctP]]"
"[[gene|ywdI]]→[[gene|ywdK]]","[[gene|ywdI]]-[[gene|ywdJ]]-[[gene|ywdK]]"
"[[gene|frlP]]","[[gene|frlP]]"
"[[gene|trpP]]","[[gene|trpP]]"
"[[gene|asnS]]→[[gene|ypoC]]","[[gene|asnS]]-[[gene|dnaD]]-[[gene|nth]]-[[gene|ypoC]]"
"[[gene|fatR]]→[[gene|yrhJ]]","[[gene|fatR]]-[[gene|yrhJ]]"
