"operon","genes"
"[[gene|yfhB]]→[[gene|yfhC]]","[[gene|yfhB]]-[[gene|yfhC]]"
"[[gene|rplJ]]→[[gene|rplL]]","[[gene|rplJ]]-[[gene|rplL]]"
"[[gene|lytA]]→[[gene|lytC]]","[[gene|lytA]]-[[gene|lytB]]-[[gene|lytC]]"
"[[gene|acsA]]→[[gene|ytzK]]","[[gene|acsA]]-[[gene|ytzK]]"
"[[gene|yhxA]]→[[gene|glpP]]","[[gene|yhxA]]-[[gene|glpP]]"
"[[gene|yhaJ]]","[[gene|yhaJ]]"
"[[gene|pbpC]]→[[gene|ycsN]]","[[gene|pbpC]]-[[gene|ycsN]]"
"[[gene|yteV]]","[[gene|yteV]]"
"[[gene|glnQ]]→[[gene|glnP]]","[[gene|glnQ]]-[[gene|glnH]]-[[gene|glnM]]-[[gene|glnP]]"
"[[gene|yokB]]","[[gene|yokB]]"
"[[gene|rluB]]→[[gene|recA]]","[[gene|rluB]]-[[gene|resA]]-[[gene|resB]]-[[gene|resC]]-[[gene|resD]]-[[gene|resE]]"
"[[gene|rpmE]]","[[gene|rpmE]]"
"[[gene|yczC]]","[[gene|yczC]]"
"[[gene|fecC]]→[[gene|fecF]]","[[gene|fecC]]-[[gene|fecD]]-[[gene|fecE]]-[[gene|fecF]]"
"[[gene|yfkK]]→[[gene|yfkL]]","[[gene|yfkK]]-[[gene|yfkL]]"
"[[gene|ymcB]]→[[gene|ricA]]","[[gene|ymcB]]-[[gene|ricA]]"
"[[gene|araE]]","[[gene|araE]]"
"[[gene|bstA]]","[[gene|bstA]]"
"[[gene|yhdI]]","[[gene|yhdI]]"
"[[gene|bstG]]","[[gene|bstG]]"
"[[gene|comN]]->[[gene|secDF]]","[[gene|comN]]-[[gene|secDF]]"
"[[gene|alsT]]","[[gene|alsT]]"
"[[gene|ybgF]]","[[gene|ybgF]]"
"[[gene|tlpC]]","[[gene|tlpC]]"
"[[gene|yolD]]→[[gene|uvrX]]","[[gene|yolD]]-[[gene|uvrX]]"
"[[gene|metA]]→[[gene|ugtP]]","[[gene|metA]]-[[gene|ugtP]]"
"[[gene|nonA]]","[[gene|nonA]]"
"[[gene|yppE]]","[[gene|yppE]]"
"[[gene|kinE]]→[[gene|ogt]]","[[gene|kinE]]-[[gene|ogt]]"
"[[gene|ccdA]]→[[gene|yneJ]]","[[gene|ccdA]]-[[gene|yneI]]-[[gene|yneJ]]"
"[[gene|ywqL]]","[[gene|ywqL]]"
"[[gene|guaB]]","[[gene|guaB]]"
"[[gene|qcrA]]→[[gene|qcrC]]","[[gene|qcrA]]-[[gene|qcrB]]-[[gene|qcrC]]"
"[[gene|yqhR]]→[[gene|efp]]","[[gene|yqhR]]-[[gene|yqhS]]-[[gene|papA]]-[[gene|efp]]"
"[[gene|ylaA]]→[[gene|ylaD]]","[[gene|ylaA]]-[[gene|ylaB]]-[[gene|ylaC]]-[[gene|ylaD]]"
"[[gene|rapC]]→[[gene|phrC]]","[[gene|rapC]]-[[gene|phrC]]"
"[[gene|mhqN]]→[[gene|mhqP]]","[[gene|mhqN]]-[[gene|mhqO]]-[[gene|mhqP]]"
"[[gene|mtrA]]","[[gene|mtrA]]"
"[[gene|ykoG]]→[[gene|ykoJ]]","[[gene|ykoG]]-[[gene|ykoH]]-[[gene|ykoI]]-[[gene|ykoJ]]"
"[[gene|pgdS]]","[[gene|pgdS]]"
"[[gene|yflA]]","[[gene|yflA]]"
"[[gene|snaA]]→[[gene|ytnM]]","[[gene|snaA]]-[[gene|tcyJ]]-[[gene|tcyK]]-[[gene|tcyL]]-[[gene|tcyM]]-[[gene|tcyN]]-[[gene|cmoO]]-[[gene|cmoI]]-[[gene|cmoJ]]-[[gene|ribR]]-[[gene|sndA]]-[[gene|ytnM]]"
"[[gene|ydbB]]→[[gene|ydbC]]","[[gene|ydbB]]-[[gene|ydbC]]"
"[[gene|yabP]]→[[gene|yabR]]","[[gene|yabP]]-[[gene|yabQ]]-[[gene|divIC]]-[[gene|yabR]]"
"[[gene|citB]]→[[gene|yneN]]","[[gene|citB]]-[[gene|yneN]]"
"[[gene|flgB]]→[[gene|swrB]]","[[gene|flgB]]-[[gene|flgC]]-[[gene|fliE]]-[[gene|fliF]]-[[gene|fliG]]-[[gene|fliH]]-[[gene|fliI]]-[[gene|fliJ]]-[[gene|ylxF]]-[[gene|fliK]]-[[gene|flgD]]-[[gene|flgE]]-[[gene|swrD]]-[[gene|fliL]]-[[gene|fliM]]-[[gene|fliY]]-[[gene|cheY]]-[[gene|fliO]]-[[gene|fliP]]-[[gene|fliQ]]-[[gene|fliR]]-[[gene|flhB]]-[[gene|flhA]]-[[gene|flhF]]-[[gene|flhG]]-[[gene|cheB]]-[[gene|cheA]]-[[gene|cheW]]-[[gene|cheC]]-[[gene|cheD]]-[[gene|sigD]]-[[gene|swrB]]"
"[[gene|yraA]]","[[gene|yraA]]"
"[[gene|ssbB]]","[[gene|ssbB]]"
"[[gene|sboA]]→[[gene|albG]]","[[gene|sboA]]-[[gene|sboX]]-[[gene|albA]]-[[gene|albB]]-[[gene|albC]]-[[gene|albD]]-[[gene|albE]]-[[gene|albF]]-[[gene|albG]]"
"[[gene|ytaP]]","[[gene|ytaP]]"
"[[gene|ydfH]]→[[gene|ydfI]]","[[gene|ydfH]]-[[gene|ydfI]]"
"[[gene|yrkK]]→[[gene|yrkL]]","[[gene|yrkK]]-[[gene|yrkL]]"
"[[gene|metS]]→[[gene|yabD]]","[[gene|metS]]-[[gene|yabD]]"
"[[gene|yidC1]]→[[gene|jag]]","[[gene|yidC1]]-[[gene|jag]]"
"[[gene|srfAA]]→[[gene|srfAD]]","[[gene|srfAA]]-[[gene|srfAB]]-[[gene|comS]]-[[gene|srfAC]]-[[gene|srfAD]]"
"[[gene|yubA]]→[[gene|uppP]]","[[gene|yubA]]-[[gene|uppP]]"
"[[gene|ykuT]]","[[gene|ykuT]]"
"[[gene|mrpA]]→[[gene|mrpG]]","[[gene|mrpA]]-[[gene|mrpB]]-[[gene|mrpC]]-[[gene|mrpD]]-[[gene|mrpE]]-[[gene|mrpF]]-[[gene|mrpG]]"
"[[gene|yrzM]]→[[gene|yrkL]]","[[gene|yrzM]]-[[gene|yrkD]]-[[gene|yrkE]]-[[gene|yrkF]]-[[gene|yrkH]]-[[gene|yrkI]]-[[gene|yrkJ]]-[[gene|yrkK]]-[[gene|yrkL]]"
"[[gene|ydzN]]","[[gene|ydzN]]"
"[[gene|luxS]]","[[gene|luxS]]"
"[[gene|gabR]]","[[gene|gabR]]"
"[[gene|ythP]]→[[gene|ythQ]]","[[gene|ythP]]-[[gene|ythQ]]"
"[[gene|tseB]]→[[gene|aspB]]","[[gene|tseB]]-[[gene|aspB]]"
"[[gene|spoVD]]","[[gene|spoVD]]"
"","[[gene|S357]]"
"[[gene|yqkE]]","[[gene|yqkE]]"
"[[gene|sscA]]","[[gene|sscA]]"
"[[gene|ntdR]]","[[gene|ntdR]]"
"[[gene|yodN]]→[[gene|yozD]]","[[gene|yodN]]-[[gene|yozD]]"
"[[gene|ylzH]]→[[gene|tmcAL]]","[[gene|ylzH]]-[[gene|tmcAL]]"
"[[gene|yktC]]->[[gene|ykzC]]","[[gene|yktC]]-[[gene|ykzC]]"
"[[gene|yhbI]]→[[gene|yhcC]]","[[gene|yhbI]]-[[gene|yhbJ]]-[[gene|yhcA]]-[[gene|yhcB]]-[[gene|yhcC]]"
"[[gene|adeR]]","[[gene|adeR]]"
"[[gene|yphE]]→[[gene|yphF]]","[[gene|yphE]]-[[gene|yphF]]"
"[[gene|trmFO]]→[[gene|codY]]","[[gene|trmFO]]-[[gene|codV]]-[[gene|clpQ]]-[[gene|clpY]]-[[gene|codY]]"
"[[gene|yhzD]]","[[gene|yhzD]]"
"[[gene|minC]]→[[gene|minD]]","[[gene|minC]]-[[gene|minD]]"
"[[gene|yhjA]]","[[gene|yhjA]]"
"[[gene|ydbA]]","[[gene|ydbA]]"
"[[gene|aimP]]","[[gene|aimP]]"
"[[gene|ykvP]]→[[gene|ykvQ]]","[[gene|ykvP]]-[[gene|ykzQ]]-[[gene|ykvQ]]"
"[[gene|yhdN]]→[[gene|plsC]]","[[gene|yhdN]]-[[gene|plsC]]"
"[[gene|glxA]]","[[gene|glxA]]"
"[[gene|ysfB]]","[[gene|ysfB]]"
"[[gene|gabP]]","[[gene|gabP]]"
"[[gene|holA]]","[[gene|holA]]"
"[[gene|alkA]]","[[gene|alkA]]"
"[[gene|ppsA]]→[[gene|ppsE]]","[[gene|ppsA]]-[[gene|ppsB]]-[[gene|ppsC]]-[[gene|ppsD]]-[[gene|ppsE]]"
"[[gene|hemE]]→[[gene|hemY]]","[[gene|hemE]]-[[gene|hemH]]-[[gene|hemY]]"
"[[gene|yurR]]→[[gene|yurQ]]","[[gene|yurR]]-[[gene|yurQ]]"
"[[gene|yobR]]→[[gene|csaA]]","[[gene|yobR]]-[[gene|yobQ]]-[[gene|csaA]]"
"[[gene|yveA]]","[[gene|yveA]]"
"[[gene|yxjI]]","[[gene|yxjI]]"
"[[gene|yktA]]","[[gene|yktA]]"
"[[gene|cccA]]","[[gene|cccA]]"
"[[gene|mgsR]]","[[gene|mgsR]]"
"[[gene|yuiE]]","[[gene|yuiE]]"
"[[gene|cotX]]","[[gene|cotX]]"
"[[gene|yncD]]","[[gene|yncD]]"
"[[gene|lysS]]","[[gene|lysS]]"
"[[gene|rsbP]]→[[gene|rsbQ]]","[[gene|rsbP]]-[[gene|rsbQ]]"
"[[gene|ypbS]]→[[gene|ypzF]]","[[gene|ypbS]]-[[gene|ypzF]]"
"[[gene|yvjA]]→[[gene|cccB]]","[[gene|yvjA]]-[[gene|cccB]]"
"[[gene|txpA]]","[[gene|txpA]]"
"[[gene|nrnA]]","[[gene|nrnA]]"
"[[gene|yvbH]]","[[gene|yvbH]]"
"[[gene|ohrR]]","[[gene|ohrR]]"
"[[gene|yfhS]]","[[gene|yfhS]]"
"[[gene|gltR]]","[[gene|gltR]]"
"[[gene|asd]]→[[gene|dapA]]","[[gene|asd]]-[[gene|dapG]]-[[gene|dapA]]"
"[[gene|bsdB]]→[[gene|bsdD]]","[[gene|bsdB]]-[[gene|bsdC]]-[[gene|bsdD]]"
"[[gene|gerKA]]→[[gene|gerKB]]","[[gene|gerKA]]-[[gene|gerKC]]-[[gene|gerKB]]"
"[[gene|yhfM]]","[[gene|yhfM]]"
"[[gene|spoIISA]]→[[gene|spoIISB]]","[[gene|spoIISA]]-[[gene|spoIISB]]"
"[[gene|mciZ]]->[[gene|yqkF]]","[[gene|mciZ]]-[[gene|yqkF]]"
"[[gene|yvcA]]->[[gene|yvzA]]","[[gene|yvcA]]-[[gene|yvcB]]-[[gene|yvzA]]"
"[[gene|trmR]]→[[gene|greA]]","[[gene|trmR]]-[[gene|yrrN]]-[[gene|yrrO]]-[[gene|udk]]-[[gene|greA]]"
"[[gene|rok]]","[[gene|rok]]"
"[[gene|yodA]]","[[gene|yodA]]"
"[[gene|bsrE]]","[[gene|bsrE]]"
"[[gene|ypiA]]→[[gene|reoY]]","[[gene|ypiA]]-[[gene|reoY]]"
"[[gene|bglC]]","[[gene|bglC]]"
"[[gene|adhR]]","[[gene|adhR]]"
"[[gene|ybgB]]","[[gene|ybgB]]"
"[[gene|katA]]","[[gene|katA]]"
"[[gene|yqeB]]","[[gene|yqeB]]"
"[[gene|ywlD]]→[[gene|ywlG]]","[[gene|ywlD]]-[[gene|ywlE]]-[[gene|ywlF]]-[[gene|ywlG]]"
"[[gene|gcaD]]→[[gene|ctc]]","[[gene|gcaD]]-[[gene|prs]]-[[gene|ctc]]"
"[[gene|yoyC]]→[[gene|bshB2]]","[[gene|yoyC]]-[[gene|yojF]]-[[gene|bshB2]]"
"[[gene|cwlS]]","[[gene|cwlS]]"
"[[gene|yrzA]]","[[gene|yrzA]]"
"[[gene|yodB]]","[[gene|yodB]]"
"[[gene|lysC]]","[[gene|lysC]]"
"[[gene|sigD]]→[[gene|swrB]]","[[gene|sigD]]-[[gene|swrB]]"
"[[gene|coiA]]→[[gene|pepF]]","[[gene|coiA]]-[[gene|pepF]]"
"[[gene|yesE]]→[[gene|yesF]]","[[gene|yesE]]-[[gene|yesF]]"
"[[gene|spoVT]]","[[gene|spoVT]]"
"[[gene|zinT]]","[[gene|zinT]]"
"[[gene|katE]]→[[gene|yxiS]]","[[gene|katE]]-[[gene|yxiS]]"
"[[gene|metK]]","[[gene|metK]]"
"[[gene|yqgB]]","[[gene|yqgB]]"
"[[gene|lutA]]→[[gene|lutC]]","[[gene|lutA]]-[[gene|lutB]]-[[gene|lutC]]"
"[[gene|dacA]]→[[gene|serS]]","[[gene|dacA]]-[[gene|pdxS]]-[[gene|pdxT]]-[[gene|serS]]"
"[[gene|tdh]]→[[gene|kbl]]","[[gene|tdh]]-[[gene|kbl]]"
"[[gene|ypjB]]","[[gene|ypjB]]"
"[[gene|cwlS]]→[[gene|yojM]]","[[gene|cwlS]]-[[gene|yojM]]"
"[[gene|yvnA]]","[[gene|yvnA]]"
"[[gene|dppA]]→[[gene|dppE]]","[[gene|dppA]]-[[gene|dppB]]-[[gene|dppC]]-[[gene|dppD]]-[[gene|dppE]]"
"[[gene|yjzK]]→[[gene|spoVIF]]","[[gene|yjzK]]-[[gene|yjcZ]]-[[gene|spoVIF]]"
"[[gene|ybfG]]→[[gene|ybfE]]","[[gene|ybfG]]-[[gene|ybfF]]-[[gene|ybfE]]"
"[[gene|yokF]]-[[gene|yokE]]","[[gene|yokF]]-[[gene|yokE]]"
"[[gene|yybN]]→[[gene|yybJ]]","[[gene|yybN]]-[[gene|yybM]]-[[gene|yybL]]-[[gene|yybK]]-[[gene|yybJ]]"
"[[gene|ssdC]]","[[gene|ssdC]]"
"[[gene|yhbB]]→[[gene|cspR]]","[[gene|yhbB]]-[[gene|cspR]]"
"[[gene|dgk]]→[[gene|dck]]","[[gene|dgk]]-[[gene|dck]]"
"[[gene|yngA]]→[[gene|uptA]]","[[gene|yngA]]-[[gene|yngB]]-[[gene|uptA]]"
"[[gene|ytwF]]","[[gene|ytwF]]"
"[[gene|SR5]]","[[gene|SR5]]"
"[[gene|tagA]]→[[gene|tagB]]","[[gene|tagA]]-[[gene|tagB]]"
"[[gene|pbpI]]→[[gene|yrrS]]","[[gene|pbpI]]-[[gene|yrrS]]"
"[[gene|rpsP]]→[[gene|khpA]]","[[gene|rpsP]]-[[gene|khpA]]"
"[[gene|ywfA]]","[[gene|ywfA]]"
"[[gene|yxbB]]→[[gene|yxaM]]","[[gene|yxbB]]-[[gene|yxbA]]-[[gene|yxnB]]-[[gene|asnH]]-[[gene|yxaM]]"
"[[gene|sspC]]","[[gene|sspC]]"
"[[gene|aprE]]","[[gene|aprE]]"
"[[gene|cheV]]","[[gene|cheV]]"
"[[gene|yrhO]]","[[gene|yrhO]]"
"[[gene|yvbI]]","[[gene|yvbI]]"
"[[gene|yxeC]]","[[gene|yxeC]]"
"[[gene|yfjA]]→[[gene|yfjF]]","[[gene|yfjA]]-[[gene|yfjB]]-[[gene|yfjC]]-[[gene|yfjD]]-[[gene|yfjE]]-[[gene|yfjF]]"
"[[gene|yyaQ]]","[[gene|yyaQ]]"
"[[gene|araR]]","[[gene|araR]]"
"[[gene|spo0F]]","[[gene|spo0F]]"
"[[gene|yhzB]]","[[gene|yhzB]]"
"[[gene|yokD]]","[[gene|yokD]]"
"[[gene|gltT]]","[[gene|gltT]]"
"[[gene|ndoAI]]→[[gene|ndoA]]","[[gene|ndoAI]]-[[gene|ndoA]]"
"[[gene|ydjJ]]","[[gene|ydjJ]]"
"","[[gene|rosA]]"
"[[gene|yxbG]]","[[gene|yxbG]]"
"[[gene|melA]]","[[gene|melA]]"
"[[gene|yjcA]]","[[gene|yjcA]]"
"[[gene|yhcY]]→[[gene|yhdA]]","[[gene|yhcY]]-[[gene|yhcZ]]-[[gene|yhdA]]"
"[[gene|ydaS]]","[[gene|ydaS]]"
"[[gene|yfjP]]→[[gene|yfjO]]","[[gene|yfjP]]-[[gene|yfjO]]"
"[[gene|yqxI]]→[[gene|yqxJ]]","[[gene|yqxI]]-[[gene|yqxJ]]"
"[[gene|cadA]]","[[gene|cadA]]"
"[[gene|blt]]→[[gene|bltD]]","[[gene|blt]]-[[gene|bltD]]"
"[[gene|yjdG]]","[[gene|yjdG]]"
"[[gene|topA]]","[[gene|topA]]"
"[[gene|ygzD]]→[[gene|ygaO]]","[[gene|ygzD]]-[[gene|ygaO]]"
"[[gene|ypeP]]→[[gene|ypeQ]]","[[gene|ypeP]]-[[gene|ypeQ]]"
"[[gene|ytkC]]","[[gene|ytkC]]"
"[[gene|rplS]]","[[gene|rplS]]"
"[[gene|yozM]]","[[gene|yozM]]"
"[[gene|ybfA]]→[[gene|ybfB]]","[[gene|ybfA]]-[[gene|ybfB]]"
"[[gene|abn2]]","[[gene|abn2]]"
"[[gene|yqfZ]]→[[gene|ispG]]","[[gene|yqfZ]]-[[gene|ispG]]"
"[[gene|glnK]]→[[gene|glnL]]","[[gene|glnK]]-[[gene|glnL]]"
"[[gene|psdR]]→[[gene|psdB]]","[[gene|psdR]]-[[gene|psdS]]-[[gene|psdA]]-[[gene|psdB]]"
"[[gene|yndA]]->[[gene|ynzB]]","[[gene|yndA]]-[[gene|ynzB]]"
"[[gene|rpsA]]→[[gene|fni]]","[[gene|rpsA]]-[[gene|fni]]"
"[[gene|ylmA]]","[[gene|ylmA]]"
"[[gene|yhaX]]","[[gene|yhaX]]"
"[[gene|yyaD]]","[[gene|yyaD]]"
"[[gene|yloU]]→[[gene|fakA]]","[[gene|yloU]]-[[gene|fakA]]"
"[[gene|ydeI]]","[[gene|ydeI]]"
"[[gene|bmrB]]→[[gene|bmrD]]","[[gene|bmrB]]-[[gene|bmrX]]-[[gene|bmrC]]-[[gene|bmrD]]"
"[[gene|ydhU/2]]->[[gene|ydhU/1]]","[[gene|ydhU/2]]-[[gene|ydhU/1]]"
"[[gene|yvfG]]","[[gene|yvfG]]"
"[[gene|sr1]]","[[gene|sr1]]"
"[[gene|ctaB]]→[[gene|ctaG]]","[[gene|ctaB]]-[[gene|ctaC]]-[[gene|ctaD]]-[[gene|ctaE]]-[[gene|ctaF]]-[[gene|ctaG]]"
"[[gene|rplGB]]->[[gene|tufA]]","[[gene|rplGB]]-[[gene|rpsL]]-[[gene|rpsG]]-[[gene|fusA]]-[[gene|tufA]]"
"[[gene|dynA]]-[[gene|ypbS]]-[[gene|ypzF]]","[[gene|dynA]]-[[gene|ypbS]]-[[gene|ypzF]]"
"[[gene|ydeC]]->[[gene|ydzE]]","[[gene|ydeC]]-[[gene|ydzE]]"
"[[gene|yczG]]","[[gene|yczG]]"
"[[gene|yqgW]]","[[gene|yqgW]]"
"[[gene|facZ]]→[[gene|brxC]]","[[gene|facZ]]-[[gene|ytxH]]-[[gene|brxC]]"
"[[gene|yknW]]→[[gene|yknZ]]","[[gene|yknW]]-[[gene|yknX]]-[[gene|yknY]]-[[gene|yknZ]]"
"[[gene|yoaJ]]","[[gene|yoaJ]]"
"[[gene|pbuE]]","[[gene|pbuE]]"
"[[gene|fadH]]→[[gene|ykzU]]","[[gene|fadH]]-[[gene|fadG]]-[[gene|ykzU]]"
"[[gene|yjlA]]","[[gene|yjlA]]"
"[[gene|cotD]]","[[gene|cotD]]"
"[[gene|fhuB]]-[[gene|fhuG]]-[[gene|fhuC]]","[[gene|fhuB]]-[[gene|fhuG]]-[[gene|fhuC]]"
"[[gene|yhjR]]->[[gene|yhjQ]]","[[gene|yhjR]]-[[gene|yhjQ]]"
"[[gene|yqgC]]→[[gene|sodA]]","[[gene|yqgC]]-[[gene|sodA]]"
"[[gene|ccpA]]→[[gene|motS]]","[[gene|ccpA]]-[[gene|motP]]-[[gene|motS]]"
"[[gene|rapD]]","[[gene|rapD]]"
"[[gene|cspD]]","[[gene|cspD]]"
"[[gene|reoY]]","[[gene|reoY]]"
"[[gene|ywqN]]","[[gene|ywqN]]"
"[[gene|mltG]]","[[gene|mltG]]"
"[[gene|yfjQ]]","[[gene|yfjQ]]"
"[[gene|mtnW]]→[[gene|mtnD]]","[[gene|mtnW]]-[[gene|mtnX]]-[[gene|mtnB]]-[[gene|mtnD]]"
"[[gene|degV]]","[[gene|degV]]"
"[[gene|yoaH]]","[[gene|yoaH]]"
"[[gene|fadN]]→[[gene|fadE]]","[[gene|fadN]]-[[gene|fadA]]-[[gene|fadE]]"
"[[gene|yhfP]]→[[gene|yhfQ]]","[[gene|yhfP]]-[[gene|yhfQ]]"
"[[gene|yqaP]]","[[gene|yqaP]]"
"[[gene|yybF]]","[[gene|yybF]]"
"[[gene|yuzI]]→[[gene|yugP]]","[[gene|yuzI]]-[[gene|yugP]]"
"[[gene|yvaM]]","[[gene|yvaM]]"
"[[gene|ykuS]]","[[gene|ykuS]]"
"[[gene|maeN]]","[[gene|maeN]]"
"[[gene|narG]]→[[gene|narI]]","[[gene|narG]]-[[gene|narH]]-[[gene|narJ]]-[[gene|narI]]"
"[[gene|cotO]]","[[gene|cotO]]"
"[[gene|lcfB]]","[[gene|lcfB]]"
"[[gene|ytxC]]","[[gene|ytxC]]"
"[[gene|rapK]]→[[gene|phrK]]","[[gene|rapK]]-[[gene|phrK]]"
"[[gene|clpP]]","[[gene|clpP]]"
"[[gene|surC]]","[[gene|surC]]"
"[[gene|tepA]]→[[gene|ylzJ]]","[[gene|tepA]]-[[gene|ylzJ]]"
"[[gene|yhaH]]","[[gene|yhaH]]"
"[[gene|pta]]","[[gene|pta]]"
"[[gene|yfkQ]]→[[gene|yfkT]]","[[gene|yfkQ]]-[[gene|yfkR]]-[[gene|yfkS]]-[[gene|yfkT]]"
"[[gene|queG]]","[[gene|queG]]"
"[[gene|spoIIR]]","[[gene|spoIIR]]"
"[[gene|yuaF]]→[[gene|yuaI]]","[[gene|yuaF]]-[[gene|floT]]-[[gene|yuaI]]"
"[[gene|yqbG]]","[[gene|yqbG]]"
"[[gene|yfmP]]→[[gene|yfmO]]","[[gene|yfmP]]-[[gene|yfmO]]"
"[[gene|ylmB]]","[[gene|ylmB]]"
"[[gene|iolT]]","[[gene|iolT]]"
"[[gene|rplO]]→[[gene|map]]","[[gene|rplO]]-[[gene|secY]]-[[gene|adk]]-[[gene|map]]"
"[[gene|rocD]]→[[gene|rocF]]","[[gene|rocD]]-[[gene|rocE]]-[[gene|rocF]]"
"[[gene|aroC]]","[[gene|aroC]]"
"[[gene|yjkB]]→[[gene|yjkA]]","[[gene|yjkB]]-[[gene|yjkA]]"
"[[gene|yydA]]","[[gene|yydA]]"
"[[gene|fpbN]]→[[gene|fpbQ]]","[[gene|fpbN]]-[[gene|fpbO]]-[[gene|fpbP]]-[[gene|fpbQ]]"
"[[gene|dgcK]]","[[gene|dgcK]]"
"[[gene|speD]]","[[gene|speD]]"
"[[gene|glcU]]→[[gene|gdh]]","[[gene|glcU]]-[[gene|gdh]]"
"[[gene|yoeD]]","[[gene|yoeD]]"
"[[gene|yyaB]]","[[gene|yyaB]]"
"[[gene|lipM]]->[[gene|mntR]]","[[gene|lipM]]-[[gene|mntR]]"
"[[gene|yojE]]→[[gene|bshB2]]","[[gene|yojE]]-[[gene|yoyC]]-[[gene|yojF]]-[[gene|bshB2]]"
"[[gene|yndB]]","[[gene|yndB]]"
"[[gene|rodA]]","[[gene|rodA]]"
"[[gene|ywnJ]]","[[gene|ywnJ]]"
"[[gene|spoVG]]","[[gene|spoVG]]"
"[[gene|yunG]]→[[gene|yunC]]","[[gene|yunG]]-[[gene|yunF]]-[[gene|yunE]]-[[gene|yunD]]-[[gene|yunC]]"
"[[gene|ymaD]]","[[gene|ymaD]]"
"[[gene|yvbK]]","[[gene|yvbK]]"
"[[gene|yetO]]","[[gene|yetO]]"
"[[gene|yumC]]","[[gene|yumC]]"
"[[gene|deoR]]","[[gene|deoR]]"
"[[gene|ggt]]","[[gene|ggt]]"
"[[gene|pbpD]]→[[gene|yuxK]]","[[gene|pbpD]]-[[gene|yuxK]]"
"[[gene|cspC]]","[[gene|cspC]]"
"[[gene|ywbD]]","[[gene|ywbD]]"
"[[gene|yuaD]]","[[gene|yuaD]]"
"[[gene|yppC]]","[[gene|yppC]]"
"[[gene|yttB]]","[[gene|yttB]]"
"[[gene|pbpA]]","[[gene|pbpA]]"
"[[gene|nupG]]","[[gene|nupG]]"
"[[gene|alaR]]→[[gene|alaT]]","[[gene|alaR]]-[[gene|alaT]]"
"[[gene|yitE]]","[[gene|yitE]]"
"[[gene|artP]]→[[gene|artR]]","[[gene|artP]]-[[gene|artQ]]-[[gene|artR]]"
"[[gene|prpE]]","[[gene|prpE]]"
"[[gene|melE]]→[[gene|melA]]","[[gene|melE]]-[[gene|melD]]-[[gene|melC]]-[[gene|melA]]"
"[[gene|ywnH]]→[[gene|ywnG]]","[[gene|ywnH]]-[[gene|ywnG]]"
"[[gene|yxeE]]","[[gene|yxeE]]"
"[[gene|rapB]]","[[gene|rapB]]"
"[[gene|ywjA]]->[[gene|ywjB]]","[[gene|ywjA]]-[[gene|ywjB]]"
"[[gene|glnA]]","[[gene|glnA]]"
"[[gene|yjzB]]","[[gene|yjzB]]"
"[[gene|rpsA]]","[[gene|rpsA]]"
"[[gene|veg]]","[[gene|veg]]"
"[[gene|ykzP]]→[[gene|ykzE]]","[[gene|ykzP]]-[[gene|ykzE]]"
"[[gene|mhqR]]","[[gene|mhqR]]"
"[[gene|ydfJ]]","[[gene|ydfJ]]"
"[[gene|sinI]]→[[gene|sinR]]","[[gene|sinI]]-[[gene|sinR]]"
"[[gene|nhaC]]","[[gene|nhaC]]"
"[[gene|yxaA]]→[[gene|yxaB]]","[[gene|yxaA]]-[[gene|yxaB]]"
"[[gene|ytpA]]→[[gene|ytpB]]","[[gene|ytpA]]-[[gene|ytpB]]"
"[[gene|yteA]]","[[gene|yteA]]"
"[[gene|ywnA]]→[[gene|ywnB]]","[[gene|ywnA]]-[[gene|ywnB]]"
"[[gene|mdxR]]→[[gene|pgcM]]","[[gene|mdxR]]-[[gene|yvdF]]-[[gene|mdxE]]-[[gene|mdxF]]-[[gene|mdxG]]-[[gene|yvdJ]]-[[gene|yvdK]]-[[gene|malL]]-[[gene|pgcM]]"
"[[gene|fdhD]]→[[gene|moaA]]","[[gene|fdhD]]-[[gene|moaA]]"
"[[gene|eag]]","[[gene|eag]]"
"[[gene|yojN]]→[[gene|yojO]]","[[gene|yojN]]-[[gene|yojO]]"
"[[gene|yoaR]]→[[gene|yozT]]","[[gene|yoaR]]-[[gene|yozF]]-[[gene|yozT]]"
"[[gene|yrrT]]→[[gene|yrhC]]","[[gene|yrrT]]-[[gene|mtnN]]-[[gene|mccA]]-[[gene|mccB]]-[[gene|yrhC]]"
"[[gene|ytaB]]","[[gene|ytaB]]"
"[[gene|bsrG]]","[[gene|bsrG]]"
"[[gene|ybaR]]","[[gene|ybaR]]"
"[[gene|csn]]","[[gene|csn]]"
"[[gene|yclG]]","[[gene|yclG]]"
"[[gene|ywcJ]]","[[gene|ywcJ]]"
"[[gene|spoVE]]","[[gene|spoVE]]"
"[[gene|ywhK]]→[[gene|ywhL]]","[[gene|ywhK]]-[[gene|ywhL]]"
"[[gene|yojA]]→[[gene|yojB]]","[[gene|yojA]]-[[gene|yojB]]"
"[[gene|pckA]]","[[gene|pckA]]"
"[[gene|resA]]→[[gene|resE]]","[[gene|resA]]-[[gene|resB]]-[[gene|resC]]-[[gene|resD]]-[[gene|resE]]"
"[[gene|yosA]]","[[gene|yosA]]"
"[[gene|yfiG]]→[[gene|yfiI]]","[[gene|yfiG]]-[[gene|yfiH]]-[[gene|yfiI]]"
"[[gene|yqfU]]→[[gene|zur]]","[[gene|yqfU]]-[[gene|zur]]"
